codigo,descripcion
00,OTROS
01,FACTURA
02,RECIBO DE HONORARIOS
03,BOLETA DE VENTA
04,LIQUIDACIÓN DE COMPRA
05,BOLETO TRANS. AÉREO PASAJEROS
06,BOLETO TRANS. AÉREO CARGA
07,NOTA DE CRÉDITO
08,NOTA DE DÉBITO
09,GUIA DE REMISIÓN - REMITENTE
10,RECIBO POR ARRENDAMIENTO
11,PÓLIZA BOLSA DE VAL. PRODU OTR
12,TICKET MAQUINA REGISTRADORA
13,DOCUMENTO ENTIDADES FINANCIERA
14,RECIBO SERV. PUBLICOS
15,BOLETO TRANSP PUBLIC URBANO
16,BOLETO DE VIAJE TRANSP PASAJER
17,DOCUM IGLESIA CATÓLICA ARREND
18,DOCUMENTO EMITIDO POR AFPs
19,BOLETO EVENTOS PUBLICOS
20,COMPROBANTE DE RETENCIÓN
21,CONOC EMBARQU TRANS CARGA MARI
22,COMPROB. OPER. NO HABITUALES
23,PÓLIZA ADJUD REMATE VENTA MART
24,CERTIF. PAGO REGALIA PERUPETRO
25,DOCUMENTO DE ATRIBUCIÓN - IGV
26,RECIB. SERV AGUA FINES AGRARIO
27,SCTR - SEGUR COMPL TRAB RIESGO
28,TARIF UNIFICADA USO AEROPUERTO
29,DOCUM. EMITIDO POR COFOPRI
30,DOC EMPR ADQUI TARJ CRED DEBIT
43,BOL. AVIA COMER NO REGUL PASAJ
44,"BILLET DE LOTERÍA, RIFA Y APUE"
45,DOC EMIT CENT EDUC NO GRAYADOS
46,FORMULARIO DE DECLARACIÓN YI
48,COMPROBANTE DE OPERACIONES - LEY N° 29972
49,CONSTANCIA DE DEPÓSITO - IVAP
50,DECLARACION UNICA ADUANAS - ID
51,PÓLIZA O DUI FRACCIONADA
52,DESPACHO SIMPLIF. - IMPOR SIMP
53,DECLARACIÓN MENSAJERIA COURIER
54,LIQUIDACIÓN DE COBRANZA
55,BVME TRANS FERROV PASAJEROS
56,COMPROBANTE PAGO SEAE
87,NOTA DE CRÉDITO ESPECIAL
88,NOTA DE DÉBITO ESPECIAL
89,NOTA DE AJUSTE DE OPERACIONES - LEY N° 29972
91,COMPROBANTE DE NO DOMICILIADO
96,EXCESO CRÉD FISC x RETIRO BIEN
97,NOTA CRÉDITO - NO DOMICILIADO
98,NOTA DÉBITO - NO DOMICILIADO
CH,CHEQUE
DP,DEPOSITO
LA,LIBRO DE ACTAS
LE,LETRA DE CAMBIO
LI,LIQUIDACION
