codigo,descripcion,nivel,cuenta_balance,asiento_debe,asiento_haber,tipo,analisis,centro_costos,source_file,source_sheet,source_row
01,BIENES Y VALORES ENTREGADOS,1,,,,Orden,,,PLAN DE CUENTAS CONTASIS.xlsx,PLAN DE CUENTAS,2
011,"BIENES EN PRÉSTAMO, CUSTODIA Y NO CAPITALIZABLES",2,,,,Orden,,,PLAN DE CUENTAS CONTASIS.xlsx,PLAN DE CUENTAS,3
0111,BIENES EN PRESTAMO - Entregados,3,,,,Orden,Documentos,Sin centro de Costos,PLAN DE CUENTAS CONTASIS.xlsx,PLAN DE CUENTAS,4
0112,BIENES EN CUSTODIA - Entregados,3,,,,Orden,Documentos,Sin centro de Costos,PLAN DE CUENTAS CONTASIS.xlsx,PLAN DE CUENTAS,5
012,VALORES Y BIENES ENTREGADOS EN GARANTIA,2,,,,Orden,,,PLAN DE CUENTAS CONTASIS.xlsx,PLAN DE CUENTAS,6
0121,CARTAS FIANZA - Entregados en garantía,3,,,,Orden,Documentos,Sin centro de Costos,PLAN DE CUENTAS CONTASIS.xlsx,PLAN DE CUENTAS,7
0122,CUENTAS POR COBRAR - Entregados en garantía,3,,,,Orden,Documentos,Sin centro de Costos,PLAN DE CUENTAS CONTASIS.xlsx,PLAN DE CUENTAS,8
0123,EXISTENCIAS - Entregados en garantía,3,,,,Orden,Documentos,Sin centro de Costos,PLAN DE CUENTAS CONTASIS.xlsx,PLAN DE CUENTAS,9
0124,INVERSION MOBILIARIA - Entregados en garantía,3,,,,Orden,Documentos,Sin centro de Costos,PLAN DE CUENTAS CONTASIS.xlsx,PLAN DE CUENTAS,10
0125,INVERSION INMOBILIARIA - Entregados en garantía,3,,,,Orden,Documentos,Sin centro de Costos,PLAN DE CUENTAS CONTASIS.xlsx,PLAN DE CUENTAS,11
0126,"INMUEBLES, MAQUINARIA Y EQUIPO - Entregados en garantía",3,,,,Orden,Documentos,Sin centro de Costos,PLAN DE CUENTAS CONTASIS.xlsx,PLAN DE CUENTAS,12
0127,INTANGIBLES - Entregados en garantía,3,,,,Orden,Documentos,Sin centro de Costos,PLAN DE CUENTAS CONTASIS.xlsx,PLAN DE CUENTAS,13
